Player,Pos,Tm,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
James Harden,SG,HOU,12,27.3,7.3,14.2,4.7,13.1,12.2,14.1,1.2,7.3,8.5,10.9,2.3,0.9,6.2,3.7,40.9,0.441,0.514,0.361,0.527,0.862,0.611
Gary Harris,SG,DEN,7.8,17.1,5.3,10.1,2.5,7,2.7,3.3,1.1,3.4,4.5,3.6,2.1,0.4,2.1,3,20.7,0.454,0.519,0.36,0.528,0.803,0.558
Joe Harris,SF,BRK,7.4,15.6,3.7,7,3.7,8.7,1.8,2.3,1.1,5.1,6.2,3.2,0.9,0.4,2.4,4,20.4,0.474,0.538,0.423,0.592,0.786,0.61
Tobias Harris,PF,PHI,9.9,20.9,7.5,14.5,2.4,6.3,3.8,4.6,1.3,8,9.4,3.4,1.2,0.7,2.2,3,26,0.473,0.516,0.375,0.53,0.829,0.567
Josh Hart,SF,NOP,5.6,13,2.8,5.2,2.8,7.9,1.9,2.6,1.3,7.4,8.7,2.6,1.7,0.8,1.7,3.9,15.8,0.428,0.542,0.353,0.534,0.713,0.557
Gordon Hayward,SF,BOS,9.7,21.1,7.2,14.2,2.5,6.9,6.2,7.5,1.2,6.9,8,5.8,1.7,0.5,3.3,2.8,28.1,0.459,0.504,0.367,0.519,0.828,0.576
Tyler Herro,SG,MIA,8.4,20.3,4.6,10.7,3.8,9.7,2.5,3,0.5,6.6,7.1,3.5,1.1,0.3,2.8,2.3,23.1,0.414,0.434,0.391,0.507,0.835,0.534
Buddy Hield,SG,SAC,10.3,23.4,5.5,11.7,4.8,11.7,2.4,2.7,1.4,5.9,7.3,3.8,1.4,0.5,3,3.5,27.9,0.442,0.472,0.411,0.545,0.869,0.566
George Hill,PG,MIL,7.5,16.1,5,9.6,2.6,6.5,3.3,4.1,1.2,4.6,5.8,6,1.7,0.4,2.3,3.5,20.9,0.468,0.516,0.398,0.548,0.794,0.584
Jrue Holiday,SG,NOP,10.1,21.8,7.8,15.2,2.3,6.6,3.4,4.4,1.2,4.8,6,9.7,2.2,1,4,3.3,25.8,0.463,0.514,0.344,0.515,0.773,0.544
Rodney Hood,SF,POR,8.4,19.8,5.2,11.2,3.2,8.6,3.2,3.9,0.7,4.7,5.4,3.5,1.4,0.4,2.1,4.1,23.3,0.426,0.467,0.372,0.507,0.839,0.542
Al Horford,C,PHI,9.2,18.5,7.6,13.9,1.7,4.6,2,2.6,2.6,8.7,11.2,6.4,1.3,2,2.3,3,22.2,0.5,0.545,0.362,0.545,0.786,0.565
Danuel House,SF,HOU,5.8,13.1,2.7,4.8,3.1,8.3,2.3,2.8,1.4,5.6,7,2.2,1.4,0.7,1.4,3.4,16.9,0.44,0.563,0.369,0.557,0.797,0.588
